oak%(n.)   橡樹,橡木
older%(比較級)old比較級
OK%(a.)   好
OK%(adv.) 順利地
OK%(v.)   承認
OK%(n.)   承認
old-fashioned%(a.)   老式的,守舊的
olive%(n.)   橄欖樹,橄欖
olive%(n.)   橄欖油
okay%(n.)   好
Olympic%(a.)   奧林匹克的
old%(n.)   畢業生
Old%(n.)   藥約聖經
Olympic%(n.)   國際奧林匹克運動會
omen%(n.)   預兆,前兆,徵兆
ominous%(a.)   不吉祥的
omit%(v.)   省略,遺漏
omission%(n.)   刪除,遺漏
once%(adv.) 一次,從前
once%(連)   一旦
once%(n.)   一次
on%(介)   於....
on%(adv.) 在上面
onion%(n.)   洋蔥
one%(n.)   一
one%(代)   一個
one%(a.)   一個的
onward%(a.)   向前的(地),�芋洢e進的(地)
oneself%(代)   自己本身
open%(a.)   開著,公開的
open%(v.)   打開
one-time%(a.)   過去的
opener%(n.)   開瓶器,開罐器
open-minded%(a.)   心胸開闊的
opera%(n.)   歌劇
opening%(n.)   開始
openly%(adv.) 公然地
ongoing%(a.)   進行中的
operate%(v.)   操作,運轉;動手術(～on )
operation%(n.)   操作,運轉,手術
operator%(n.)   接線生
operational%(a.)   作業的
operative%(a.)   轉動的
only%(a.)   唯一的
only%(adv.) 只
opinion%(n.)   意見,看法,輿論
onset%(n.)   攻擊
onto%(介)   到...之上
opponent%(n.)   對手,敵手
opportunity%(n.)   機會,時機
op%(n.)   (operation)開刀手術
oppose%(v.)   反對 (be～d to +N/Ving)(=object to +N)
onion%(n.)   意見調查　
opposition%(n.)   反對,扺抗
opposite%(a.)   相對的,對面的,相反的
opposite%(n.)   相反的事或物或人;反義字
opposite%(介)   在...對面
oppress%(v.)   壓迫,壓倒
oppression%(n.)	 壓迫, 壓制
optical%(a.)   眼的,視力的,光學的(=optic)
optimism%(n.)   樂觀
optimistic%(a.)   樂觀的
option%(n.)   選擇,取捨(=choice)
optional%(a.)   可選擇的
oral%(a.)   口頭的,口述的
or%(連)   或...
orange%(n.)   橙,柑橘類
orbit%(n.)   軌道
orchestra%(n.)   管弦樂隊
ordeal%(n.)   嚴酷的考驗
order%(n.)   順序,條理,命令,訂購
order%(v.)   命令,下令;定購,點(菜)
ordinarily%(adv.) 平常
orderly%(a.)   有秩序的,有條理的
ordinary%(a.)   平常的,平凡的
ordinance%(n.)   法令
organ%(n.)   器官,風琴
organic%(a.)   有機體的,有機的
organism%(n.)   有機體,生物
organize%(v.)   組織,籌辦
organization%(n.)   組織,構造
Orient%(v.)   東方
oriented%(a.)	 以...為方向的, 以...為目的的
oriental%(a.)   亞洲的,東方的
orientation%(n.)   適應
origin%(n.)   起源,出處,出身
original%(a.)   最初的
original%(n.)   原作品
originality%(n.)   創意,創造力
originally%(adv.) 起初,本來
originate%(v.)   創始,發起,起源( ～from )
ornament%(n.)   裝飾,裝飾品
ornamental%(a.)   裝飾的
orphan%(n.)   孤兒
orphanage%(n.)   孤兒院,孤兒的身份
orthodox%(a.)   傳統的
other%(a.)   另一方的
other%(代)   其他的事物
otherwise%(adv.) 否則
ought%(助)   ～to :應該
ounce%(n.)   盎司
our%(代)   我們的
ours%(代)   我們的
outbreak%(n.)   爆發,騷動
ourselves%(代)   把我們自己
oust%(v.)   趕走
outcome%(n.)   結果,成果
out%(adv.) 在外
out%(介)	  通過...而出,沿著...而去
outer%(a.)   外面的
outdoor%(a.)   戶外的
ourdoors%(adv.) 戶外地
outfit%(n.)   全套裝備
outing%(n.)   郊遊,遠足
outlaw%(n.)   歹徒,罪犯,亡命之徒
outlet%(n.)   出口,出路
outline%(n.)   輪廓,大綱,綱要
outline%(v.)   畫略圖
outlook%(n.)   展望,景色,看法
outnumber%(v.)   數量勝過
out-of-date%(a.)   過時的,舊式的
output%(n.)   產品
outrage%(n.)   暴行
outside%(n.)   外側
outside%(a.)   外部的
outside%(adv.) 在外面地
outside%(介)   在...的外面
outrageous%(a.)   殘暴的
outsider%(n.)   局外人,非會員
outright%(adv.) 完全地
outskirts%(n.)   市郊,郊區
outset%(n.)   最初
outstanding%(a.)   傑出的,顯著的
outward%(a.)   外面的
oven%(n.)   烤箱,烤爐
outwards%(adv.) =outward
overall%(a.)   全部的,全盤的
over%(介)   在...之上
over%(adv.) 在上方
overcoat%(n.)   大衣,外套
overcome%(v.)   克服,擊敗
overcrowded%(a.)   太過擁擠
overdo%(v.)   誇大
overdue%(a.)   遲到的,過期的
overhead%(adv.) 在頭頂上
overhear%(v.)   無意中聽到
overhead%(n.)   投影機
overlap%(v.)   部份重疊
overlook%(v.)   俯視,監督;忽視
overnight%(adv.) 過夜的,一夜之間
overseas%(adv.) 海外,在國外
oversee%(v.)   監督,督導;俯視
overtake%(v.)   趕上,超過
overthrow%(v.)   推翻,打倒
overturn%(v.)   弄倒
overwhelm%(v.)   壓倒,使十分感動
overwork%(v.)   過度工作
overwhelming%(a.)   壓倒性的
owe%(v.)   欠,歸功於(～sth. to sb.)
owing%(a.)   該付的
owl%(n.)   貓頭鷹
own%(a.)   自己的
own%(v.)   擁有,承認
owner%(n.)   所有者
ownership%(n.)   所有權
oxidation%(n.)   氧化
oxygen%(n.)   氧
oyster%(n.)   蠔,牡蠣
ozone%(n.)   臭氣
OZ%(縮寫)ounce(s)盎司
